年月日,收盤價(元)
2003/6/30,37.08
2003/7/1,38.05
2003/7/2,38.69
2003/7/3,39
2003/7/4,39.26
2003/7/7,41
2003/7/8,41.19
2003/7/9,41.22
2003/7/10,40.05
2003/7/11,39.91
2003/7/14,40.66
2003/7/15,40.19
2003/7/16,40.85
2003/7/17,39.8
2003/7/18,39.92
2003/7/21,39.4
2003/7/22,39.98
2003/7/23,40.05
2003/7/24,41.23
2003/7/25,41.23
2003/7/28,41.58
2003/7/29,41.02
2003/7/30,40.6
2003/7/31,40.87
2003/8/1,41.6
2003/8/4,41.4
2003/8/5,40.5
2003/8/6,40.23
2003/8/7,40.7
2003/8/8,40.18
2003/8/11,40.1
2003/8/12,40.55
2003/8/13,42.45
2003/8/14,42.3
2003/8/15,42.72
2003/8/18,42.8
2003/8/19,43
2003/8/20,43.19
2003/8/21,44
2003/8/22,44.04
2003/8/25,44.35
2003/8/26,43.46
2003/8/27,43.62
2003/8/28,43.56
2003/8/29,44.92
2003/9/1,45.15
2003/9/2,45.52
2003/9/3,45
2003/9/4,44.51
2003/9/5,45.03
2003/9/8,45.95
2003/9/9,45.7
2003/9/10,45.1
2003/9/12,45.47
2003/9/15,45
2003/9/16,45.45
2003/9/17,45.79
2003/9/18,45.68
2003/9/19,45.8
2003/9/22,45
2003/9/23,44.8
2003/9/24,44.85
2003/9/25,44.85
2003/9/26,44.85
2003/9/29,44.71
2003/9/30,44.7
2003/10/1,44.16
2003/10/2,45.05
2003/10/3,45.31
2003/10/6,46.25
2003/10/7,46.28
2003/10/8,46
2003/10/9,46.14
2003/10/13,47.19
2003/10/14,47.01
2003/10/15,47.05
2003/10/16,47.7
2003/10/17,47.79
2003/10/20,48
2003/10/21,47.8
2003/10/22,47.8
2003/10/23,47.1
2003/10/24,46.95
2003/10/27,47
2003/10/28,47.85
2003/10/29,48
2003/10/30,48.16
2003/10/31,48
2003/11/3,48
2003/11/4,48
2003/11/5,48.44
2003/11/6,47.6
2003/11/7,47.78
2003/11/10,47.51
2003/11/11,47.18
2003/11/12,47.02
2003/11/13,47.35
2003/11/14,47.55
2003/11/17,46.7
2003/11/18,46.6
2003/11/19,45.99
2003/11/20,45.6
2003/11/21,45.57
2003/11/24,45.58
2003/11/25,45.95
2003/11/26,46
